"Project Title","Project Acronym","Project Description","Project ID","Finance Project Code","Finance Unit Code",Status,"Lockdown Status","Success Status","Assigned To","Duration (Years)","Project Dates Start","Project Dates End","Proposed End Date","Project Type","Project Activity Type",Tags,Funder,Scheme,"HESA Funder Category","VAT Code","VAT Review Complete?",Opportunity,"Name of Call","Sub-section of Call","URL of Call","URL of Sub-section","Funder Deadline","Award Ceiling","Bid Submitted Date","Supplement Submitted Date","Auto Progress Date","Bid Awarded Date","Supplement Awarded Date","Project Lead",Co-Investigator(s),"Other Editors",Visibility,"View Access","Lead Organisation","Paid via Lead Organisation",Collaborator(s),Subawardee(s),Partner(s),"Other Organisation(s)","Lead Subproject","Other Subprojects","All Subprojects","Lead Org Unit","Other Org Units","All Org Units","Lead Department","NHS Involvement","NHS Reference","Research Areas",Themes,"Research Centres/Groups",Countries,"Pre-award Liaison","Post-award Liaison",Portfolio,"Portfolio Group","Business Liaison","International Development Office Project","Project Phase","Supplementary T&Cs?","Supplementary T&C Details","Bid Restrictions?","Bid Restriction Details","Sponsor Data Retention Limit","Peer Review","Peer Review Notes","Willing to Peer Review Others","Project SharePoint Link","Ethics Implications","Resource Implications","Resource Implication Details","Rationale for Application to this Funder","Related Project(s)","Corporation Tax","Use Bid as a Learning Tool","Transferred In","Transferred In Date","Transferred From","Transferred Out","Transferred Out Date","Transferred To",Retrospective,"HESA Cost Centre","Funder Award Reference","Income Method","Unit of Assessment","HEBCI Main","HEBCI Sub","Material Code","Approved Date","Success Probability %","Lessons Learned Review Completed","Final Report Submitted","Location of Archived Hardcopy","Data Verification Override",Notes,"Price to Funder at Submit","Price to Funder","Cost to HEI at Submit","Cost to HEI","Cost to Funder at Submit","Cost to Funder","Surplus / -Deficit","% Recovery","Marginal Surplus / -Deficit","Marginal % Recovery","Contribution to Overheads","% Contribution to Overheads","Directly Incurred Expenditure Budget","Expenditure Budget","Actual Spend","Expenditure Balance","Committed Spend","Available Balance","Directly Incurred Costs","Directly Incurred Costs (ex Partner Costs)","Directly Incurred Expenditure Budget (ex Partner Costs)","Expenditure Budget (ex Partner Costs)","Actual Spend (ex Partner Costs)","Expenditure Balance (ex Partner Costs)","Committed Spend (ex Partner Costs)","Available Balance (ex Partner Costs)","Directly Incurred Non Staff Costs (ex Partner Costs)","Consumables Cost to HEI","Equipment Cost to HEI","Directly Allocated Costs","Directly Allocated Staff Costs","Estates Costs","Technician Costs","Indirect Costs","Exceptions Costs","Price to Funder (ex Partner Costs)","Price to Funder at Submit (ex Partner Costs)","Cost to HEI (ex Partner Costs)","Cost to HEI at Submit (ex Partner Costs)","Cost to Funder (ex Partner Costs)","Cost to Funder at Submit (ex Partner Costs)","Surplus / -Deficit (ex Partner Costs)","% Recovery (ex Partner Costs)","Marginal Surplus / -Deficit (ex Partner Costs)","Marginal % Recovery (ex Partner Costs)","Contribution to Overheads (ex Partner Costs)","% Contribution to Overheads (ex Partner Costs)",Updated,"Milestone Template","Public Status","Public URL",Created,"Created By","Last Event Date"
"Recycling of Ti Alloy Swarf for Coatings",ReTiCo,"Our concept is to utilise titanium (Ti) alloy swarf (vast amount generated during machining: ~80-90 % of the starting material) to produce the feedstock materials (powder and wires) for processes such as thermal spraying and additive manufacturing. The success of our concept will enable the usage of waste material for the mainstream production of feedstock material and will support the objectives of the current call: sustainability and circular economy. A successful demonstration of the concept will help in the commercialisation of new and efficient manufacturing processes for foundation industries that will, in turn, support the goal of waste recycling - some of the objectives of the current call. The Ti global market is forecasted to grow by a compound annual growth rate (CAGR) of 6.5 % from 2023-2030 reaching a market size of ~6.5 billion pounds (8.4 billion USD) in 2029. The major usage (~60%) of Ti alloys is in the aerospace sector and as the UK aerospace industry is the second largest in the world, the requirement of Ti alloys is going to increase in the UK. However, the production of the primary Ti alloy is a highly energy-intensive task that leads to higher costs and higher amounts of carbon footprints. The usage of Ti alloy swarf to generate feedstock material will not only support the production of low-cost Ti alloys for the UK industries but will also support the goal of achieving carbon neutrality (by 2050); by reducing wastage and reducing the usage of energy for material production; hence, supporting the UK economy.

In order to fulfill the goal of collaborative R&D, we have already figured out the industry and academic partners in the UK and India. The success of the project will lead to new and efficient manufacturing processes that will support the goal of sustainability, circular economy, and recyclability of Ti alloys for foundation industries. A successful value-added supply chain from the waste stream will be generated with the success of the current project. The project will generate knowhow and the work will be published in open-access journals.",597529,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2024-03-01,2025-08-31,,"RO - Standard Research",Research,,"INNOVATE UK Innovate UK","INNOVATE UK Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,"India – UK Collaborative R&D for industrial sustainability",,https://apply-for-innovation-funding.service.gov.uk/competition/1561/overview/f3ea8c10-800d-42db-bfef-53d63a86bd2b#summary,,"2023-09-06 11:00",300000.00,"2023-10-04 09:55",,"2024-10-03 00:00",,,"Shiladitya Paul (SP660)",,,"Only people involved in this project",,,Yes,,,,,"SE/EN: TWI Innovation Centre",,"SE/EN: TWI Innovation Centre","SE/EN: TWI Innovation Centre",,"SE/EN: TWI Innovation Centre",,,,,,,INDIA,,"Anna Kardas (AM565)","Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-08-29 14:24",,,,,,,126919.87,126919.87,160405.60,160405.60,158649.84,158649.84,-33485.73,79.12,56391.87,44.43,48562.57,38.26,68982.97,158649.84,0.00,158649.84,0.00,158649.84,70528.00,70528.00,68982.97,158649.84,0.00,158649.84,0.00,158649.84,11500.00,2700.00,0.00,28888.54,7829.29,18792.08,2267.18,60989.05,0.00,126919.87,126919.87,160405.60,160405.60,158649.84,158649.84,-33485.73,79.12,56391.87,44.43,48562.57,38.26,"2023-10-04 09:55:58",,Discoverable,,"2023-08-10 18:20:05","Shiladitya Paul (SP660)","2023-10-04 09:55"
"CANnabidiol for Adults with Lennox-Gastaut Syndrome or Dravet Syndrome, Challenging Behaviour and Intellectual Disability:  A Case-Control Study",CANABID,"The aim of this study is to evaluate the impact of Cannabidiol on challenging behaviours in patients with Lennox-Gastaut Syndrome or Dravet Syndrome and co-occurring challenging behaviour and intellectual disability. 

IMPORTANT NOTE: Please note that the pharmaceutical company to whom we are applying (I am co-lead) is Jazz Pharmaceuticals (https://www.jazzpharma.com/) and we are applying to their default scheme. Unfortunately Jazz Pharma is not available as an option under 'funder' on this form so I have had to put a different pharmaceutical company down.",621145,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2024-04-01,2026-03-31,,"RC - Research Clinical Trial",Research,,"Jazz Pharmaceuticals","Jazz Pharmaceuticals Default Scheme","EU Industry, Commerce & Public Corporations","YH Income - Services to Rest of World - Zero Rate",,,"Jazz Default Scheme",,https://jazz.envisionpharma.com/,,"2023-09-30 15:00",500000.00,"2023-10-04 09:55",,"2024-10-03 00:00",,,"Sam Tromans (ST386)",,,"Only people involved in this project",,"University of Plymouth",Yes,,,,,"LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences","LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences",,,,,,"99 - Not Applicable for Institute reporting",,"Vicki Inchley (VLC2)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,"Full Application",,,,,,,,,,,No,,,,,,,,,,,,,,,,,"Contract Research","Commercial Client (non-SME)",,"2023-10-04 08:31",,,,,,"* This is a multi-centre study for which Rohit Shankar (University of Plymouth) and myself are the leads. 
* Please note that this is an industry grant
* Additionally, please note that we will not be commencing any patients on cannabidiol by virtue of them taking part in this study (instead we will be recruiting patients being commenced [and not being commenced] on cannabidiol as part of their routine specialist clinical care, and collecting data on them, subject to their participation in the study).

Funds are coming from Jazz Pharmaceuticals in Ireland and they will be in Pound Sterling.  The lead Plymouth University requested 20% overheads.  There were no call guidelines or funder specific requirements.  This was contract research 100% FEC.",93257.72,93257.72,149916.14,149916.14,149598.84,149598.84,-56658.42,62.21,30429.37,32.63,13767.98,14.76,62593.94,149598.84,0.00,149598.84,0.00,149598.84,62828.34,62828.34,62593.94,149598.84,0.00,149598.84,0.00,149598.84,0.00,0.00,0.00,24680.39,16661.39,8019.00,0.00,62407.40,0.00,93257.72,93257.72,149916.14,149916.14,149598.84,149598.84,-56658.42,62.21,30429.37,32.63,13767.98,14.76,"2023-10-04 09:55:07",,Discoverable,,"2023-09-24 14:42:49","Sam Tromans (ST386)","2023-10-18 09:06"
"Accelerating adoption of Al in materials and chemicals to deliver net zero goals faster",,"This is an Innovate UK call. The application is led by Intellegens to address adoption challenges of artificial intelligence (AI), specifically machine learning (ML) within the materials & chemical industry. 

The lead organisation is looking for an academic partner to really support from an overseeing perspective but there could be some scope for research / industry use cases too.",610204,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",1,2024-02-01,2025-01-31,,"RO - Standard Research",Research,,"INNOVATE UK Innovate UK","INNOVATE UK Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,"Accelerating trustworthy AI: Phase 2 Collaborative R&D",,https://apply-for-innovation-funding.service.gov.uk/competition/1684/overview/52e6dd4c-e065-4a5d-ab14-118677aaefc2#supporting-information,,"2023-09-20 15:15",1200000.00,"2023-10-04 09:43",,"2024-10-03 00:00",,,"Hong Dong (HD38)",,"Anna Kardas (AM565)","Only people involved in this project",,,Yes,,,,,"SE/EN: Engineering",,"SE/EN: Engineering","SE/EN: Engineering",,"SE/EN: Engineering",,,,,,,,"Anna Kardas (AM565)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-09-14 20:07",,,,,,,34420.36,34420.36,43243.95,43243.95,43025.45,43025.45,-8823.59,79.6,29620.36,86.05,10257.41,29.8,4800.00,43025.45,0.00,43025.45,0.00,43025.45,4800.00,4800.00,4800.00,43025.45,0.00,43025.45,0.00,43025.45,4800.00,0.00,0.00,24260.45,19362.95,4370.25,527.25,14183.50,0.00,34420.36,34420.36,43243.95,43243.95,43025.45,43025.45,-8823.59,79.6,29620.36,86.05,10257.41,29.8,"2023-10-04 09:44:36",,Discoverable,,"2023-09-06 14:47:00","Hong Dong (HD38)","2023-10-04 09:44"
"Achilles tendinopathy sub-groups in the NHS",NHS-Subs,tbc,626751,,,"Bid Development",,Pending,"Pre-award Admin,Seth O'Neill (SO59)",2,2024-03-01,2026-02-28,,"RO - Standard Research",Research,,"NIHR National Institute of Health Research","NIHR Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,,,,,,,,,,,,"Seth O'Neill (SO59)",,,"Only people involved in this project",,,Yes,,,,,"LS/AH: Physiotherapy",,"LS/AH: Physiotherapy","LS/AH: Physiotherapy",,"LS/AH: Physiotherapy",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,24742.81,,31639.41,,30928.51,-6896.60,78.2,24742.81,100,5908.20,23.88,0.00,30928.51,0.00,30928.51,0.00,30928.51,0.00,0.00,0.00,30928.51,0.00,30928.51,0.00,30928.51,0.00,0.00,0.00,20292.61,18834.61,1458.00,0.00,11346.80,0.00,24742.81,,31639.41,,30928.51,,-6896.60,78.2,24742.81,100,5908.20,23.88,"2023-10-04 09:35:44",,Private,,"2023-10-04 09:34:15","Seth O'Neill (SO59)","2023-10-04 09:39"
"Development of Coatings for Mitigation of Ice Accretion",ICEPHOB,"Ice accretion on surfaces is a serious concern leading to severe environmental and economic losses. It affects myriad of industries, including aviation, telecommunication, naval transport, energy harvesting and distribution, cooling systems, automobiles, etc. [1]. In aircrafts, there is a decrease in drag and at times may lead to dangerous loss of lift force, which may cause tragic crash accidents. For instance, the flight (AF447) from Rio to Paris met with an accident in June 2009 over Atlantic Ocean (killed 228 people) raised a concern towards the safety of human race in air travel. The cause of the mishap was ruled out from any on-board system failures, exception being the sensors (or pitot probes). As per the reports, the pitot probes faced severe icing conditions owing to which the non-flying pilot had to activate the wing anti-icing system, thereby consuming more power for flying.

While most of the studies focus on the macro-scale icing (millimeter-size droplets and bulk ice) some authors have shown promising performance of superhydrophobic laser-textured surfaces against atmospheric icing. The tests have been carried out on wind tunnels and airplane components and it is evident that the ice adhesion is reduced with smaller micrometric droplets. With regard to the deposition methods, spin coating, dip coating, spray coating, Physical Vapour deposition (PVD), Chemical Vapor Deposition (CVD), etc. have been developed by the research fraternity for inducing superhydrophobicity. Their advantages are that the deposition parameters can be controlled, and the resulting coating will meet the specifications or required properties when it comes to surface structure, thickness, etc. However, these techniques are not possible to use in the case of upscaling. For real applications, most of the coating systems will behave like paint, and spray coating or brushing are techniques that are mostly used. Smooth surfaces may be the preferred surface structure rather than rough or hierarchical surfaces as their simplicity make them industrially feasible. Thus, the present context of research is a merger of forming hierarchical structures satisfying Cassie Baxter’s equation and then coating the surfaces through spray/dip coating technology. The coatings will be subjected to different characterization techniques, such as wettability, microstructure, topography, composition, tribo-corrosion, and functional studies to assess the icephobic surfaces. The introduction of artificial intelligence aspect for predicting the icephobic coating parameters will be reported. The work will also broaden the scope of incorporating icephobic coatings in large-scale manufacturing industries.",604672,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2024-10-01,2026-09-30,,"RF - Research Fellowship",Research,,"CEC CEC","CEC Default Scheme","EU Government Bodies (inc European Commission but not UK)","Y6 Income - Outside the Scope",,,"MSCA Postdoctoral Fellowships 2023 [HORIZON-MSCA-2023-PF-01-01]",,https://marie-sklodowska-curie-actions.ec.europa.eu/calls/msca-postdoctoral-fellowships-2023,,"2023-09-13 16:00",182114.22,"2023-10-04 09:14",,"2024-10-03 00:00",,,"Shiladitya Paul (SP660)",,,"Only people involved in this project",,,Yes,,,,,"SE/EN: Engineering",,"SE/EN: Engineering","SE/EN: Engineering",,"SE/EN: Engineering",,,,,,,,"Anna Kardas (AM565)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-09-11 15:46",,,,,,"This is a Marie Curie Fellowship Application for Shalini Mohanty. The funding is fixed by the Fellowship. 

Living Allowance = EUR166908.48
Mobility Allowance = EUR14400.00
Family Allowance = EUR15840.00

Research costs (materials consumables/travel etc.) = EUR24000.00

Management and indirect = EUR15600.00",182114.22,182114.22,204810.74,204810.74,182114.22,182114.22,-22696.52,88.92,10839.81,5.95,-10696.52,-5.87,170114.22,182114.22,0.00,182114.22,0.00,182114.22,171274.41,171274.41,170114.22,182114.22,0.00,182114.22,0.00,182114.22,18461.54,0.00,0.00,21536.32,21536.32,0.00,0.00,12000.00,0.00,182114.22,182114.22,204810.74,204810.74,182114.22,182114.22,-22696.52,88.92,10839.81,5.95,-10696.52,-5.87,"2023-10-04 09:15:59",,Discoverable,,"2023-08-25 16:36:04","Shiladitya Paul (SP660)","2023-10-04 09:16"
"Diamond based nanomaterials and nanostructures for advanced magnetic fields exploration in harsh environments",DAME,,601066,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2024-09-01,2026-08-31,,"RF - Research Fellowship",Research,,"CEC CEC","CEC Default Scheme","EU Government Bodies (inc European Commission but not UK)","Y6 Income - Outside the Scope",,,"MSCA Postdoctoral Fellowship 2023",,https://marie-sklodowska-curie-actions.ec.europa.eu/calls/msca-postdoctoral-fellowships-2023,,"2023-09-13 06:50",182114.22,"2023-10-04 09:09",,"2024-10-03 00:00",,,"Haitao Ye (HY122)",,,"Only people involved in this project",,,Yes,,,,,"SE/EN: Mechanics of materials",,"SE/EN: Mechanics of materials","SE/EN: Mechanics of materials",,"SE/EN: Mechanics of materials",,,,,,,,"Anna Kardas (AM565)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-09-11 15:42",,,,,,,182114.22,182114.22,215196.95,215196.95,182114.22,182114.22,-33082.73,84.63,6652.46,3.65,-21082.73,-11.58,170114.22,182114.22,0.00,182114.22,0.00,182114.22,175461.76,175461.76,170114.22,182114.22,0.00,182114.22,0.00,182114.22,18461.54,0.00,0.00,27735.19,27735.19,0.00,0.00,12000.00,0.00,182114.22,182114.22,215196.95,215196.95,182114.22,182114.22,-33082.73,84.63,6652.46,3.65,-21082.73,-11.58,"2023-10-04 09:12:25",,Discoverable,,"2023-08-18 06:45:33","Haitao Ye (HY122)","2023-10-04 09:12"
"Tackling Awarding Gap in Third Year Engineering Individual Project for the Advancement of Ethnic Minority Students - Interventions inspired and informed by students",,"The Higher Education sector has been trying to address Awarding Gap by introducing reforms at university or programme level but so far, HESA figures show very little improvement in the gap.  This project is using a different approach.  We have decided to tackle the problem closer to the root.  We dissected our engineering programmes’ awarding gap down to module level and realised that the biggest contributor to that gap is the third-year individual project; a module that is part of most engineering programmes.
This project is about taking action.  We are implementing changes in the delivery of the third-year project module; changes that have been informed by our BME students’ experiences, by research on inclusive assessments and by best practices in programme directorship.  We will execute a series of tasks as listed in our detailed project plan over the span of 15 months and use the momentum to continue our efforts even after the project has ended.  
Our project outcomes are Enhanced BME Student Learning, Reduced Module Awarding Gap, Socially Responsible Supervisors and Students, Higher Sense of Belonging for BME Students and Improved Confidence to Stay and Progress in Engineering.  We will gather qualitative and quantitative data throughout the project, analyse historical data on progression breaking down BME into Black, Asian, Mixed and Other as well as conduct thorough evaluations for each outcome.
The revelations from this project will benefit all engineering programmes across the sector and adapted lessons would also be applicable to any programme that includes student projects. Notification of successfully making it through the first selection round has been confirmed. Notification of successfully making it through the second round will be confirmed end of October '23.",624218,,,"Bid Approval",Locked,Pending,"Pre-award Admin",2,2024-04-01,2025-09-30,,"RO - Standard Research",Research,,"ROYAL ACAD ENGINRG ROYAL ACADEMY OF ENGINEERING","ROYAL ACAD ENGINRG Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,"Diversity Impact Programme",,https://raeng.org.uk/diversity-impact-programme,,"2023-07-14 09:00",100000.00,,,,,,"Tosha Nembhard (TN125)","Mukund Janardhanan (MJ251)",,"Only people involved in this project",,,Yes,,,,,"SE/EN: Engineering",,"SE/EN: Engineering","SE/EN: Engineering",,"SE/EN: Engineering",,,,,,,,"Anna Kardas (AM565)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"We have submitted this project via the Academy's website.  We have got through the first round of selection.  We ar waiting to hear the outcome from teh second and final phase of selection",,48131.52,,62153.39,,60164.40,-14021.87,77.44,-14021.87,-29.13,-14021.87,-29.13,60164.40,60164.40,0.00,60164.40,0.00,60164.40,62153.39,62153.39,60164.40,60164.40,0.00,60164.40,0.00,60164.40,29470.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48131.52,,62153.39,,60164.40,,-14021.87,77.44,-14021.87,-29.13,-14021.87,-29.13,"2023-10-04 08:23:14",,Discoverable,,"2023-09-29 09:38:39","Tosha Nembhard (TN125)","2023-10-04 10:55"
"Detecting and Responding Effectively to domestic Abuse in Mental health Settings (DREAMS): Improving service provision for domestic abuse victims",DREAMS,,565433,,,"Award Setup",,Successful,"Pre-award Admin",2,2023-10-02,2025-05-31,,"RO - Standard Research",Research,,"NIHR National Institute of Health Research","NIHR Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,"Research for Patient Benefit (RfPB)",,,,,,"2023-10-03 18:39",,"2024-10-02 00:00",2023-10-03,,"Emma Sleath (ERS20)",,,"Only people involved in this project",,"Northamptonshire Healthcare NHS Foundation Trust",Yes,,,,,"SS/CR: Criminology",,"SS/CR: Criminology","SS/CR: Criminology",,"SS/CR: Criminology",,,,,,"99 - Not Applicable for Institute reporting",,"Laura Flavell (LF211)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,NIHR204884,,,,,,"2023-10-03 18:39",,,,,,,0.00,18712.48,0.00,25979.45,0.00,25708.41,-7266.97,72.03,18712.48,100,3386.48,18.1,0.00,25708.41,0.00,25708.41,0.00,25708.41,0.00,0.00,0.00,25708.41,0.00,25708.41,0.00,25708.41,0.00,0.00,0.00,16539.04,15326.00,1213.04,0.00,9440.42,0.00,18712.48,0.00,25979.45,0.00,25708.41,0.00,-7266.97,72.03,18712.48,100,3386.48,18.1,"2023-10-03 18:40:31",,Private,,"2023-06-09 09:24:17","Laura Flavell (LF211)","2023-10-03 18:41"
"A roadmap for a public library digital footprint dataset (DFD).","Roadmap DFD","Our project aims to deliver a roadmap for a national public library digital footprint dataset that is open, findable, accessible, interoperable and widely useable and to test the potential and integrity of public library data.",623685,,,"Bid Development",,Pending,"Jonathan Sheen (JPS40),Katy Bennett (KJB33),Pre-award Admin,Ross Parry (RDP5),Stef De Sabbata (SDS27)",1,2024-04-01,2025-03-31,,"RO - Standard Research",Research,,"ESRC ESRC (ECON & SOC RES COUNCIL)","ESRC Default Scheme","Research Councils - ESRC","Y6 Income - Outside the Scope",,,"Deliver foundations for a transformation in digital footprint data",,https://www.ukri.org/opportunity/deliver-foundations-for-a-transformation-in-digital-footprint-data/,,"2023-11-10 16:00",500000.00,,,,,,"Katy Bennett (KJB33)","Stef De Sabbata (SDS27)","Jonathan Sheen (JPS40),Ross Parry (RDP5)","Only people involved in this project",,,Yes,,,"Leicester City Council,Partner not Listed",,"SE/GE: Human Geography",,"SE/GE: Human Geography","SE/GE: Human Geography",,"SE/GE: Human Geography",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"EOI was accepted by ESRC.   This is the second round application.",,167622.05,,211143.91,,209527.56,-43521.86,79.39,90854.86,54.2,46111.74,27.51,75546.35,209527.56,0.00,209527.56,0.00,209527.56,76767.19,76767.19,75546.35,209527.56,0.00,209527.56,0.00,209527.56,24600.00,1300.00,0.00,54949.12,44743.12,10206.00,0.00,79427.60,0.00,167622.05,,211143.91,,209527.56,,-43521.86,79.39,90854.86,54.2,46111.74,27.51,"2023-10-03 15:50:21",,Private,,"2023-09-28 13:33:07","Katy Bennett (KJB33)","2023-10-05 12:35"
"Improving access to mental health support and services for ethnic minority children and young people",,,568491,,,"Bid Unsuccessful",Locked,Unsuccessful,"Kamlesh Khunti (KK22),Pre-award Admin",2,2024-07-01,2025-12-31,,"RO - Standard Research",Research,,"NIHR National Institute of Health Research","Policy Research Programme","UK Central Government","Y6 Income - Outside the Scope",,,"Policy Research Programme - (36-01-03) - Improving access to mental health support and services for ethnic minority children and young people",,https://www.nihr.ac.uk/funding/policy-research-programme-36-01-03-improving-access-to-mental-health-support-and-services-for-ethnic-minority-children-and-young-people/33531,,"2023-07-11 13:00",,"2023-09-11 12:20",,"2024-09-10 00:00",,,"Kamlesh Khunti (KK22)",,,"Only people involved in this project",,"Nottinghamshire Healthcare NHS Trust",Yes,,,,,"LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences","LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences",,,,,,,,"Thomas Barson (TB199)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-06-21 12:37",,,,,,,88947.52,88947.52,95980.04,95980.04,88947.52,88947.52,-7032.52,92.67,170.18,0.19,170.18,0.19,81744.82,88947.52,0.00,88947.52,0.00,88947.52,88777.34,88777.34,81744.82,88947.52,0.00,88947.52,0.00,88947.52,0.00,0.00,0.00,820.12,0.00,820.12,0.00,6382.58,0.00,88947.52,88947.52,95980.04,95980.04,88947.52,88947.52,-7032.52,92.67,170.18,0.19,170.18,0.19,"2023-10-03 15:26:45",,Discoverable,,"2023-06-15 16:21:22","Suman Prinjha (SBP16)","2023-10-03 15:26"
